Identifiant,CodeCIS
1,68252641
2,68400129
3,69205370
4,60149276
5,66610933
6,64422886
7,64422886
8,67721541
9,67721541
10,63549069
11,65007804
12,62685529
13,68644553
14,61041232
15,61041232
16,67439556
17,67439556
18,68306249
19,68306249
20,61521103
21,61648467
22,66580529
23,62347260
24,62347260
25,64438716
26,64438716
27,66796758
28,66796758
29,64729383
30,62354881
31,62811974
32,67419742
33,67082734
34,60328261
35,60328261
36,60765898
37,60765898
38,62469549
39,62469549
40,63454500
41,63454500
42,63594630
43,63594630
44,64373026
45,64373026
46,65042125
47,63736019
48,67824655
49,62203705
50,64188732
51,64541342
52,69214519
53,66820967
54,68341392
55,68529120
56,63064137
57,63861752
58,67676765
59,65036318
60,67875361
61,65772900
62,67722465
63,60717825
64,60716805
65,63052252
66,62667004
67,64799168
68,67694966
69,67519123
70,61645058
71,61801023
72,64632607
73,65855463
74,69159439
75,60627865
76,61927584
77,69256710
78,64944927
79,61810983
80,64348400
81,68808796
82,69348361
83,66367812
84,66367812
85,61660291
86,61660291
87,64493883
88,66532840
89,66367812
90,69441965
91,63288174
92,61660291
93,67456363
94,67456363
95,65934042
96,67705206
97,62395974
98,66330568
99,67312950
100,61722693
101,65942815
102,65942815
103,66290522
104,60345905
105,64422886
106,60880110
107,62844771
108,60581211
109,66859849
110,66859849
111,60047225
112,62599329
113,62519589
114,63760098
115,63864524
116,64705884
117,67950458
118,69068441
119,68438457
120,63232460
121,62600799
122,62600799
123,64849607
124,67180032
125,64926466
126,65515005
127,67247075
128,69200149
129,62685529
130,63052124
131,66343989
132,64108825
133,64926466
134,65515005
135,63685770
136,63685770
137,64110908
138,64110908
139,62758742
140,62758742
141,64835365
142,64835365
143,66037572
144,66037572
145,67556495
146,67556495
147,68762562
148,66367812
149,66367812
150,63467355
151,63467355
152,65706793
153,66607321
154,66607321
155,69990857
156,69990857
157,69821184
158,62689214
159,69966525
160,65802140
161,66104277
162,68009899
163,68009899
164,67355371
165,68602465
166,68602465
167,62294199
168,66510210
169,68973246
170,64343556
171,64955133
172,64955133
173,60442838
174,66287152
175,65662126
176,61863110
177,69671845
178,67087261
179,68235460
180,64183564
181,64183564
182,67087261
183,68235460
184,64093355
185,64183564
186,61680130
187,61680130
188,67582262
189,66047342
190,66047342
191,69949390
192,69949390
193,68795701
194,68795701
195,69613703
196,69613703
197,63629490
198,63629490
199,64339586
200,64339586
201,60876980
202,62680140
203,62698455
204,67015899
205,69458135
206,64380476
207,69979273
208,69979273
209,61783917
210,68635522
211,61467125
212,69439245
213,60248000
214,60913012
215,60913012
216,60074795
217,62934770
218,62934770
219,68491709
220,60131132
221,60131132
222,60131132
223,65602428
224,65602428
225,65602428
226,67935602
227,67935602
228,67935602
229,62330898
230,68222947
231,60983726
232,60983726
233,69937274
234,69937274
235,64596449
236,66639842
237,68674913
238,68674913
239,66862731
240,66862731
241,61258225
242,62733600
243,62733600
244,63787647
245,63787647
246,64847168
247,64847168
248,68010307
249,68010307
250,60526706
251,65343331
252,69495265
253,61400703
254,61400703
255,63210923
256,63210923
257,65766192
258,65766192
259,62609556
260,65503469
261,60892792
262,60892792
263,60892792
264,67520378
265,67520378
266,67520378
267,66105532
268,66105532
269,63078350
270,66010671
271,60595727
272,60595727
273,64889982
274,64889982
275,66285411
276,60710236
277,60710236
278,61065137
279,61808509
280,62491517
281,61156829
282,69401038
283,62365493
284,64542736
285,66613769
286,68324489
287,61156252
288,61156252
289,66412702
290,66412702
291,67695203
292,67695203
293,66150577
294,66848831
295,65036318
296,62984481
297,69582503
298,62689214
299,62689214
300,64728922
301,69206903
302,68652991
303,60512336
304,63222377
305,66484819
306,64542736
307,69464049
308,69464049
309,60626197
310,66710887
311,69158839
312,66751738
313,67071218
314,69800507
315,60614273
316,60614273
317,66958808
318,68269288
319,65261329
320,66701315
321,68381052
322,66367812
323,61708252
324,67555219
325,69835497
326,63806777
327,63806777
328,67178992
329,67178992
330,60596291
331,60690011
332,64744321
333,64783769
334,65325739
335,69835440
336,69847318
337,67296108
338,68372441
339,61640118
340,65986587
341,67185086
342,69610664
343,67060271
344,67060271
345,68318874
346,68318874
347,64639797
348,67392081
349,67392081
350,60459499
351,64147632
352,64748145
353,64861673
354,66880925
355,61412157
356,63648081
357,62154820
358,61648467
359,61648467
360,66580529
361,66580529
362,60155329
363,66929607
364,66988648
365,62597342
366,68173884
367,64363384
368,64363384
369,62229123
370,62359608
371,62377079
372,64357958
373,64967356
374,65347326
375,67939682
376,62350477
377,60215018
378,60215018
379,66071126
380,66071126
381,67649597
382,67649597
383,66367812
384,60175591
385,60175591
386,62508169
387,62508169
388,60175591
389,62508169
390,64423080
391,64627916
392,64073783
393,69768123
394,60058620
395,64748533
396,66316458
397,65172663
398,60934825
399,60442838
400,66287152
401,62529551
402,64296925
403,69270884
404,65852428
405,65852428
406,60862404
407,65647882
408,65647882
409,65104751
410,67347855
411,61849146
412,63602479
413,64189396
414,64387360
415,65931110
416,68328199
417,69856153
418,66050160
419,61300756
420,69939535
421,60058620
422,64748533
423,60035714
424,62222050
425,62534114
426,67700426
427,68494153
428,61273686
429,66951589
430,66951589
431,66951589
432,64700691
433,64579414
434,64579414
435,65441590
436,65441590
437,63887327
438,66462922
439,66053847
440,62365493
441,65822036
442,62004984
443,62599329
444,62599329
445,66367812
446,65092651
447,65156805
448,60345905
449,60345905
450,69911176
451,63434686
452,67456363
453,67456363
454,67721541
455,67721541
456,64783769
457,65325739
458,69835440
459,69847318
460,64126499
461,60199966
462,62598280
463,62598280
464,63696471
465,63696471
466,64449755
467,64449755
468,66025367
469,66025367
470,60543082
471,60543082
472,67129301
473,67129301
474,60150638
475,60150638
476,64453084
477,67160229
478,67393660
479,60811559
480,60811559
481,65207541
482,65207541
483,67972497
484,67972497
485,60025054
486,60203795
487,61875550
488,64832942
489,66086562
490,62332319
491,68950386
492,68795345
493,60634703
494,61253153
495,67707919
496,67208154
497,63189920
498,64069767
499,65304816
500,62087670
501,60082233
502,69311110
503,69452417
504,63369480
505,66987336
506,62278202
507,62864489
508,65706277
509,66694949
510,65283311
511,66170398
512,67522169
513,69545330
514,69545330
515,69764032
516,63012197
517,63012197
518,64209404
519,64209404
520,66940571
521,66940571
522,67351558
523,67351558
524,69196284
525,69196284
526,61617482
527,61900982
528,62157859
529,65489051
530,65870700
531,66242591
532,69443642
533,63690956
534,62186622
535,63737879
536,60650173
537,67868413
538,67065507
539,61751780
540,61751780
541,63788717
542,63788717
543,64450362
544,64450362
545,67969992
546,62119972
547,62964361
548,61206641
549,61300756
550,69582503
551,65082080
552,64426906
553,64179637
554,64680744
555,65917317
556,68279250
557,65804084
558,65804084
559,64783769
560,65325739
561,69835440
562,69847318
563,62350477
564,62350477
565,62444026
566,62801026
567,69009763
568,62832018
569,63997542
570,65164104
571,67695281
572,60705584
573,66482622
574,67763832
575,63807135
576,66482622
577,60406016
578,65917662
579,64428871
580,64428871
581,68279040
582,68279040
583,67860651
584,63621440
585,63621440
586,60058620
587,60058620
588,64748533
589,64748533
590,62786040
591,68463211
592,64670426
593,65632154
594,67100189
595,63549069
596,63549069
597,65007804
598,65007804
599,62388307
600,62960765
601,62388307
602,62960765
603,60663231
604,66684652
605,69541570
606,69857522
607,62103459
608,64366900
609,62733600
610,62733600
611,63787647
612,63787647
613,65006702
614,67567310
615,68106914
616,66700359
617,69357912
618,63693564
619,63693564
620,60574868
621,67456363
622,67456363
623,66855936
624,66855936
625,60267506
626,67875361
627,68635522
628,60009573
629,62377435
630,69203387
631,60418716
632,60418716
633,63257093
634,63257093
635,60892792
636,60892792
637,63017696
638,64596449
639,66639842
640,67593141
641,62002638
642,65348481
643,62002638
644,65348481
645,65340100
646,60866559
647,60897889
648,60379619
649,63886766
650,64333925
651,64959320
652,66393935
653,67422076
654,68585546
655,68667580
656,68672848
657,64854885
658,60754631
659,62635145
660,63514730
661,64044237
662,66595716
663,64160932
664,63957761
665,61255738
666,61255738
667,63330335
668,63330335
669,69304094
670,69304094
671,60004505
672,60724061
673,63163772
674,61946403
675,63457489
676,63468514
677,63468514
678,69284439
679,69284439
680,69200149
681,69200149
682,63473155
683,63473155
684,67786749
685,63124513
686,69347505
687,65528593
688,61661596
689,65887105
690,67940880
691,62471742
692,62631549
693,65172663
694,65172663
695,61842358
696,61842358
697,68343525
698,62637153
699,65212047
700,68438457
701,68438457
702,60069307
703,67123316
704,60106862
705,63197002
706,65963453
707,66592969
708,63549069
709,65007804
710,66271123
711,60895265
712,63775634
713,64008337
714,68826958
715,60925502
716,69148567
717,69148567
718,60897889
719,60897889
720,65006702
721,65006702
722,60698990
723,62689787
724,63063028
725,64031567
726,65604087
727,65942854
728,65953612
729,66531208
730,67129778
731,62310931
732,60085553
733,64414291
734,62271492
735,62271492
736,60901946
737,64866745
738,60047225
739,62104543
740,62629288
741,62729413
742,69516211
743,62190115
744,62190115
745,65195181
746,65195181
747,66207074
748,66207074
749,63475544
750,60241034
751,60241034
752,61077659
753,61077659
754,64577819
755,63629490
756,64339586
757,69793557
758,63078350
759,67613747
760,67121308
761,63052124
762,67386324
763,60880975
764,67657035
765,63989385
766,64050311
767,64050311
768,65847210
769,61969188
770,61969188
771,64122611
772,64122611
773,60654271
774,63691015
775,69289895
776,69289895
777,68401067
778,62931799
779,62931799
780,62384935
781,67693946
782,64566502
783,66400785
784,65584058
785,65484054
786,64039311
787,67947145
788,67947145
789,69963066
790,69963066
791,66694664
792,67298721
793,69528523
794,67823603
795,61398654
796,62848645
797,66034512
798,63372551
799,66925605
800,68318874
801,68318874
802,69607230
803,69607230
804,66610933
805,65283311
806,66170398
807,67522169
808,65216768
809,63078350
810,67759517
811,63350430
812,60648770
813,61066196
814,62626993
815,66949061
816,68252239
817,64041718
818,64202908
819,69431992
820,63329735
821,64334824
822,68085562
823,60047143
824,68371574
825,64935262
826,68582226
827,68652991
828,61420887
829,60042349
830,60042349
831,65915266
832,65915266
833,62404590
834,60245253
835,63841924
836,65786896
837,67232333
838,68425602
839,69470867
840,69599043
841,67682145
842,62271624
843,64389824
844,67118995
845,69596271
846,69596271
847,65547063
848,65547063
849,69057530
850,69057530
851,62713448
852,65424751
853,64039311
854,64039311
855,69694541
856,61951546
857,69694541
858,66041282
859,66041282
860,65120677
861,67843958
862,67180032
863,68879708
864,64498371
865,67340750
866,67340750
867,68696906
868,68696906
869,67327169
870,60003620
871,60260910
872,60242321
873,61717276
874,68598209
875,69441965
876,65690588
877,64018979
878,68929381
879,64913426
880,65427676
881,65633046
882,66987336
883,61263329
884,60978348
885,64617815
886,64617815
887,64617815
888,67314111
889,67314111
890,67314111
891,61409314
892,61409314
893,62003633
894,60941734
895,60059081
896,61810983
897,64348400
898,68808796
899,69348361
900,64645960
901,64645960
902,65017848
903,65017848
904,68256579
905,68256579
906,69989424
907,69989424
908,63814140
909,64588580
910,68496649
911,62787968
912,62787968
913,68681263
914,60647992
915,62519799
916,64820630
917,62000441
918,66599764
919,66817088
920,69727429
921,63000533
922,63657828
923,64211191
924,66592983
925,60047182
926,60756917
927,63930084
928,62101636
929,66789692
930,67017786
931,67352140
932,60345905
933,60720216
934,62166598
935,62780660
936,62679309
937,62679309
938,62129151
939,62143724
940,64627916
941,64197553
942,66929906
943,64428871
944,64428871
945,68279040
946,68279040
947,67355371
948,67355371
949,60397542
950,67234658
951,65261329
952,63063487
953,69235837
954,60385433
955,60509781
956,68257752
957,62030744
958,68378405
959,60518136
960,60518136
961,62904108
962,62904108
963,63389629
964,63389629
965,64495254
966,64495254
967,64976412
968,64976412
969,64160925
970,64160925
971,69537134
972,66597770
973,61240145
974,67352140
975,65381200
976,65953669
977,65953669
978,61511155
979,69138295
980,66843923
981,66843923
982,64408662
983,62518793
984,63404013
985,64103828
986,69276588
987,69606819
988,66833683
989,69537091
990,69663414
991,62824142
992,63451237
993,64578892
994,64742740
995,61492185
996,61492185
997,69972332
998,69972332
999,62697467
1000,65607585
1001,60810891
1002,65741417
1003,68772407
1004,60071952
1005,60550568
1006,65220275
1007,67232155
1008,67560860
1009,68729174
1010,61527857
1011,63059994
1012,63437077
1013,68088245
1014,61846755
1015,63848228
1016,63848228
1017,64635603
1018,64826590
1019,65410260
1020,68265172
1021,68343525
1022,65592934
1023,65600733
1024,62170212
1025,64565603
1026,61151376
1027,64201464
1028,64292898
1029,64292898
1030,60111471
1031,62953888
1032,66092914
1033,63848121
1034,68797143
1035,68797143
1036,60622302
1037,63846800
1038,66198796
1039,66308461
1040,60199966
1041,67352140
1042,61759695
1043,65485245
1044,67968730
1045,69521735
1046,66902357
1047,66223317
1048,62638974
1049,60304591
1050,66848831
1051,61450026
1052,61450026
1053,66475001
1054,68143802
1055,66826710
1056,66104277
1057,66104277
1058,66707204
1059,66204797
1060,66613769
1061,68324489
1062,63689562
1063,62658877
1064,64084865
1065,64084865
1066,64350928
1067,64350928
1068,69855350
1069,62689214
1070,63613333
1071,62909137
1072,66035518
1073,64737939
1074,67039099
1075,62111751
1076,66332081
1077,62571408
1078,65599882
1079,63526608
1080,62307903
1081,63868145
1082,67830373
1083,62217822
1084,62887947
1085,65609611
1086,62023123
1087,61117445
1088,69096857
1089,68829452
1090,68829452
1091,63790127
1092,60368512
1093,60463095
1094,63775634
1095,61529993
1096,61529993
1097,62696479
1098,62696479
1099,63012197
1100,65166404
1101,65166404
1102,69304991
1103,68966390
1104,68966390
1105,69719293
1106,69719293
1107,60199966
1108,64422886
1109,64422886
1110,61064341
1111,69635532
1112,64548187
1113,68178995
1114,69979273
1115,69979273
1116,63629490
1117,65619363
1118,60493359
1119,64593008
1120,68718936
1121,69841906
1122,61680130
1123,67154532
1124,68881730
1125,65852428
1126,64373909
1127,64373909
1128,65942815
1129,65942815
1130,67022406
1131,67022406
1132,69024085
1133,69472455
1134,68416845
1135,68058063
1136,61945454
1137,67300599
1138,65185956
1139,69681469
1140,63234340
1141,68721786
1142,65231841
1143,60345905
1144,60345905
1145,60155667
1146,61425560
1147,61683518
1148,62689214
1149,63613333
1150,64959847
1151,61361022
1152,62433250
1153,63957170
1154,69941194
1155,61879666
1156,68269288
1157,61113361
1158,68678566
1159,64209404
1160,64209404
1161,66940571
1162,66940571
1163,67351558
1164,67351558
1165,69196284
1166,69196284
1167,63012197
1168,63012197
1169,69075222
1170,67271457
1171,64423080
1172,64627916
1173,66004227
1174,63558577
1175,67114096
1176,65283311
1177,66170398
1178,67522169
1179,69340343
1180,65395602
1181,61138546
1182,69241562
1183,63017696
1184,63104521
1185,64936439
1186,64211572
1187,60694593
1188,60694593
1189,62614126
1190,68475904
1191,63053030
1192,64088867
1193,68687526
1194,63467985
1195,64593798
1196,69546553
1197,65275357
1198,66710887
1199,66710887
1200,66499002
1201,60886501
1202,60886501
1203,69794641
1204,69794641
1205,60195010
1206,60195010
1207,65636245
1208,65636245
1209,66752509
1210,64512668
1211,60534795
1212,64181442
1213,65919229
1214,62823503
1215,67470459
1216,62686823
1217,65287548
1218,66112441
1219,67538433
1220,64847677
1221,63003440
1222,63003440
1223,63003440
1224,65106581
1225,60567418
1226,69037684
1227,66320218
1228,66036869
1229,62618313
1230,66581684
1231,60562606
1232,67020316
1233,68847920
1234,68847920
1235,65054729
1236,63474691
1237,68594221
1238,67296108
1239,67296108
1240,68372441
1241,68372441
1242,60833559
1243,62442395
1244,69811090
1245,65820786
1246,63329030
1247,69784330
1248,60129957
1249,60791708
1250,64019846
1251,66151519
1252,66418655
1253,66727840
1254,67670463
1255,67791066
1256,68660276
1257,69472195
1258,61506083
1259,61506083
1260,66937155
1261,66937155
1262,68438457
1263,61660291
1264,67218807
1265,67975696
1266,65931808
1267,63094493
1268,63094493
1269,65773258
1270,66664532
1271,66384249
1272,60148167
1273,67301231
1274,67301231
1275,68335966
1276,69985582
1277,60245253
1278,60245253
1279,60245253
1280,65786896
1281,65786896
1282,65786896
1283,64307631
1284,64307631
1285,65301389
1286,61233389
1287,69761794
1288,65104751
1289,60461564
1290,61994953
1291,66110981
1292,68836272
1293,68836272
1294,60245253
1295,63841924
1296,65512525
1297,65786896
1298,67232333
1299,68425602
1300,69470867
1301,61192750
1302,61192750
1303,69567729
1304,69567729
1305,60030699
1306,60030699
1307,60030699
1308,64172450
1309,64172450
1310,64172450
1311,66114645
1312,66114645
1313,66114645
1314,67477197
1315,67477197
1316,67477197
1317,68019053
1318,68019053
1319,68019053
1320,64224872
1321,64224872
1322,64224872
1323,64224872
1324,60058620
1325,64748533
1326,62386427
1327,62386427
1328,61070305
1329,63044647
1330,66421434
1331,60590648
1332,60058620
1333,64748533
1334,63401330
1335,63401330
1336,62597239
1337,62597239
1338,60647323
1339,67119549
1340,67763113
1341,60814943
1342,60814943
1343,60814943
1344,65164218
1345,65164218
1346,65164218
1347,62149015
1348,65643371
1349,65643371
1350,62002638
1351,65348481
1352,64493883
1353,62002638
1354,65348481
1355,61361022
1356,62433250
1357,63957170
1358,69941194
1359,60025054
1360,60203795
1361,61875550
1362,64832942
1363,66086562
1364,61128000
1365,63625385
1366,60981789
1367,66508896
1368,66508896
1369,65100781
1370,67403357
1371,60044841
1372,63199590
1373,60390455
1374,65854190
1375,60789511
1376,67298721
1377,67298721
1378,61383937
1379,67060271
1380,67060271
1381,69339992
1382,63781726
1383,67143895
1384,69320390
1385,65024764
1386,66766366
1387,60379619
1388,60379619
1389,61187835
1390,61187835
1391,64333925
1392,64333925
1393,64959320
1394,64959320
1395,66393935
1396,66393935
1397,68585546
1398,68585546
1399,68667580
1400,68667580
1401,68672848
1402,68672848
1403,63541065
1404,61714383
1405,61714383
1406,69144857
1407,69144857
1408,65766872
1409,65766872
1410,67259654
1411,64627916
1412,63236206
1413,63236206
1414,66719612
1415,66719612
1416,63776483
1417,66586838
1418,65325739
1419,65325739
1420,65325739
1421,64427189
1422,66166446
1423,69649126
1424,68126219
1425,65071397
1426,68001023
1427,60457929
1428,63815331
1429,64740636
1430,69549916
1431,67898029
1432,63703784
1433,69156724
1434,63479788
1435,60274212
1436,64093184
1437,65953612
1438,65953612
1439,65953612
1440,65408925
1441,66311112
1442,63420868
1443,67592694
1444,69000764
1445,69133241
1446,69133241
1447,69133241
1448,62159835
1449,62252467
1450,62252467
1451,67756752
1452,67756752
1453,67756752
1454,60815657
1455,69497177
1456,69497177
1457,69497177
1458,60035714
1459,62222050
