Id_ASMR;CodeCIS
1;69999429
2;69998996
3;69998156
4;69994784
5;69994784
6;69994332
7;69991749
8;69990857
9;69990857
10;69990857
11;69987156
12;69985671
13;69985582
14;69985493
15;69984085
16;69983777
17;69983777
18;69982928
19;69982586
20;69981979
21;69981979
22;69980852
23;69979273
24;69979273
25;69979273
26;69974746
27;69974066
28;69972923
29;69972923
30;69972923
31;69972332
32;69969425
33;69966888
34;69966525
35;69963568
36;69963066
37;69963066
38;69963066
39;69960586
40;69955824
41;69949390
42;69949052
43;69946316
44;69945545
45;69942798
46;69941269
47;69941269
48;69941194
49;69941194
50;69941194
51;69939535
52;69939179
53;69937274
54;69937274
55;69937274
56;69935992
57;69931556
58;69926534
59;69922895
60;69921291
61;69919835
62;69919792
63;69918249
64;69918085
65;69916757
66;69913444
67;69913202
68;69911176
69;69909645
70;69908842
71;69908842
72;69906072
73;69903585
74;69902323
75;69902323
76;69902323
77;69900322
78;69898227
79;69894392
80;69894339
81;69894339
82;69894339
83;69894104
84;69893582
85;69890458
86;69890052
87;69874361
88;69874361
89;69870174
90;69869147
91;69869122
92;69869122
93;69867865
94;69867865
95;69867865
96;69867865
97;69867865
98;69867865
99;69867452
100;69862722
101;69862722
102;69861702
103;69860739
104;69859893
105;69859103
106;69858332
107;69857522
108;69856153
109;69856153
110;69856153
111;69855350
112;69854234
113;69851117
114;69851117
115;69850613
116;69850613
117;69850613
118;69849244
119;69847994
120;69847318
121;69847318
122;69847318
123;69847318
124;69847318
125;69846180
126;69841906
127;69841906
128;69835497
129;69835440
130;69835440
131;69823826
132;69821184
133;69820901
134;69817346
135;69816080
136;69815548
137;69812744
138;69811279
139;69811090
140;69811090
141;69808379
142;69803752
143;69800507
144;69800507
145;69800507
146;69800507
147;69800507
148;69800507
149;69800507
150;69797801
151;69795857
152;69794641
153;69793977
154;69793977
155;69793977
156;69793557
157;69792010
158;69791271
159;69786865
160;69786114
161;69786114
162;69786114
163;69785927
164;69785927
165;69785076
166;69784330
167;69784330
168;69784330
169;69772221
170;69771849
171;69771849
172;69771849
173;69768123
174;69767594
175;69764032
176;69761794
177;69761794
178;69760411
179;69760411
180;69756861
181;69756861
182;69756861
183;69756861
184;69756861
185;69756861
186;69756377
187;69754337
188;69754337
189;69754337
190;69753527
191;69752496
192;69749137
193;69743305
194;69741731
195;69741731
196;69741731
197;69741731
198;69734982
199;69733859
200;69727429
201;69724301
202;69723039
203;69722948
204;69722236
205;69719293
206;69717844
207;69715754
208;69713034
209;69705653
210;69705653
211;69701039
212;69699620
213;69694541
214;69694541
215;69694018
216;69694018
217;69693514
218;69693507
219;69691680
220;69690774
221;69690354
222;69688620
223;69681960
224;69681469
225;69681469
226;69678277
227;69674026
228;69674026
229;69673433
230;69672961
231;69671845
232;69670234
233;69668482
234;69667989
235;69667836
236;69663909
237;69663909
238;69663414
239;69663414
240;69663414
241;69659914
242;69658075
243;69658075
244;69658075
245;69656722
246;69656722
247;69654600
248;69654600
249;69653644
250;69653644
251;69653644
252;69650566
253;69649126
254;69642982
255;69641873
256;69641873
257;69641873
258;69641318
259;69641318
260;69641318
261;69639025
262;69637743
263;69636100
264;69635532
265;69634537
266;69634537
267;69632034
268;69627877
269;69627140
270;69627140
271;69627140
272;69620498
273;69620498
274;69620320
275;69613703
276;69613703
277;69613703
278;69613703
279;69613703
280;69613703
281;69610664
282;69610415
283;69607764
284;69607230
285;69606819
286;69606819
287;69604608
288;69604608
289;69602023
290;69599901
291;69599043
292;69597619
293;69597619
294;69597619
