CodeCIS;Code_substance
60095095;1
61203061;1
61257269;1
61303791;1
61370480;1
61450026;1
61651634;1
61710577;1
62144356;1
62179122;1
62821961;1
63029111;1
63088070;1
63178870;1
63276510;1
63510721;1
63663368;1
63672883;1
64580612;1
65181566;1
65272215;1
65619769;1
66146187;1
66221775;1
66680020;1
67275135;1
67504559;1
68276279;1
68578473;1
68668013;1
69119195;1
69198513;1
69522794;1
69537045;1
60493619;5
61137191;5
61162942;5
61172160;5
61348441;5
61464022;5
61751232;5
61942771;5
61946403;5
61952274;5
62018101;5
62040674;5
62358794;5
63346396;5
63825628;5
63936571;5
64647032;5
64755969;5
64849094;5
64866332;5
64872883;5
65265765;5
65519167;5
66311831;5
66725120;5
66769394;5
66929906;5
67413821;5
67831952;5
68262646;5
68300762;5
68604982;5
68673035;5
68799614;5
68815221;5
68852682;5
68881730;5
68985138;5
69029253;5
69781373;5
60208447;6
60274212;6
60420681;6
61074175;6
61684869;6
61983743;6
62083608;6
62201138;6
62217480;6
62789435;6
62824950;6
62868498;6
62932118;6
62947013;6
63163224;6
63183821;6
63337059;6
64093184;6
64115983;6
64743130;6
64837010;6
64875819;6
65418143;6
66032721;6
66490117;6
66743613;6
66809426;6
66905809;6
67592324;6
67678175;6
67901048;6
67972077;6
68074594;6
68204461;6
68575185;6
68861083;6
69040082;6
69063120;6
69156724;6
69278991;6
69982586;6
69985493;6
61237035;8
61365825;8
62217822;8
63335706;8
63477164;8
64720320;8
65631860;8
67014249;8
67685910;8
69394597;8
69667569;8
69978029;8
62090079;11
65973294;11
66187789;11
66769608;11
67939789;11
68822739;11
68885675;11
69985493;11
61144524;21
61212594;26
64700855;27
64920036;27
67316525;27
68080800;27
68821893;27
60298028;28
60292267;29
61848140;29
69622218;29
60208447;31
60274212;31
60420681;31
60715870;31
61074175;31
61117445;31
61684869;31
61786735;31
61881286;31
61960303;31
61983743;31
62083608;31
62201138;31
62217480;31
62322104;31
62427265;31
62789435;31
62824950;31
62868498;31
62932118;31
62947013;31
63104382;31
63163224;31
63183821;31
63337059;31
63378604;31
63740918;31
64093184;31
64115983;31
64728712;31
64743130;31
64837010;31
64875819;31
65418143;31
65461618;31
66032721;31
66067708;31
66286011;31
66490117;31
66728771;31
66743613;31
66809426;31
66905809;31
67592324;31
67678175;31
67704314;31
67901048;31
67972077;31
68074594;31
68204461;31
68575185;31
68861083;31
69040082;31
69063120;31
69156724;31
69278991;31
69667989;31
69911176;31
69982586;31
69985493;31
61837560;33
62593867;33
63248991;33
63722770;33
64547128;33
68406840;33
62837780;34
64512248;34
65367122;34
65603284;34
66563273;34
61329220;35
61661906;35
67215736;35
68523847;35
60158147;37
60275086;37
60739234;37
60766975;37
60782890;37
60848739;37
60851678;37
60895831;37
60980979;37
60981771;37
61183406;37
61609959;37
62431527;37
62504861;37
62725621;37
62734983;37
62746658;37
62815360;37
62870741;37
62928283;37
63201536;37
63225081;37
63316766;37
