CodeCIS;ID_gp_gen
60000777;258
60002283;659
60003620;1358
60004277;104
60004455;1074
60004487;700
60004505;1724
60004932;1451
60004971;1094
60005856;12
60006246;432
60007241;1025
60007437;915
60008724;1308
60010084;1604
60010885;188
60016308;327
60016742;1020
60018088;1255
60018444;1416
60018896;521
60019101;483
60019329;1091
60019813;1549
60019927;264
60021127;58
60021928;1631
60023270;750
60024931;936
60026957;420
60028050;340
60028552;1216
60029394;1258
60031071;1282
60033389;1478
60034936;649
60035924;952
60037380;1402
60038468;397
60041560;699
60041884;1238
60043077;589
60044108;922
60044492;657
60044649;1748
60044784;1026
60044987;1095
60046529;925
60047182;1439
60047271;812
60048672;595
60048722;758
60049322;30
60049895;382
60050253;690
60051234;1308
60051704;1050
60051832;257
60054312;1659
60056815;70
60058008;1403
60058378;58
60061602;1254
60064872;1039
60065198;83
60065294;711
60065369;902
60068002;1103
60068034;1028
60068949;1383
60069307;1736
60069339;1069
60071055;1420
60071190;349
60071233;1391
60071315;356
60071952;615
60073608;329
60073907;656
60073914;332
60075192;630
60075370;1674
60075452;1252
60076860;1573
60077574;447
60078078;1169
60078765;1227
60082297;1549
60083132;729
60083310;147
60085553;1664
60087718;1031
60089516;4
60092590;1140
60093639;1032
60094125;663
60094424;1573
60095526;482
60096215;690
60097203;379
60098084;1570
60099738;158
60101406;150
60102426;621
60105162;366
60105568;769
60106848;997
60108518;1356
60108678;401
60109303;1151
60110896;1415
60111101;755
60111197;199
60111553;570
60111813;97
60113814;917
60116447;434
60116810;1049
60117969;1030
60118715;445
60120488;1267
60120709;236
60120812;705
60122507;1256
60122628;864
60122699;1687
60122717;1411
60123363;490
60124020;1467
60124472;1472
60124999;831
60125777;1601
60126377;113
60126594;730
60126982;1421
60128339;1422
60129665;217
60130742;68
60130906;561
60131805;767
60132330;1052
60133973;442
60135981;1359
60136439;1248
60139257;1235
60139563;1106
60140010;1380
60140836;546
60140882;1282
60141614;1420
60142043;623
60143654;1491
60144464;1033
60145580;102
60145801;711
60148110;1451
60148893;1763
60150232;1677
60150467;657
60150773;1712
60151124;1119
60151544;150
60151697;187
60152411;1072
60154017;882
60154024;580
60154743;1258
60155329;26
60155788;455
60156089;498
60156413;1341
60158147;616
60159128;96
60160479;1372
60160707;284
60160835;1215
60161143;382
60163429;1039
60165394;1249
60165490;1548
60165857;927
60168465;374
60170224;701
60175716;302
60176113;349
60177044;43
60177724;1803
60178609;1436
60179700;1772
60179839;1728
60180720;382
60181733;1005
60182237;1281
60183563;1710
60184188;252
60185201;382
60186584;1156
60187501;107
60192594;56
60192904;1573
60193372;94
60193835;1766
60196176;157
60196977;371
60197011;1104
60197972;1002
60198113;841
60202750;1775
60203418;1262
60203546;1250
60207459;923
60208251;237
60209531;884
60209645;1305
60211183;477
60214350;101
60216885;821
60217097;1068
60217108;703
60221042;780
60221302;7
60222920;1743
60224800;1020
60225681;700
60226915;306
60226979;703
60228656;378
60228791;968
60230550;201
60232359;847
60232989;503
60233817;690
60234214;630
60234221;961
60234292;467
60235330;176
60235768;1390
60237356;1635
60238853;615
60239802;121
60245253;1547
60246750;21
60247432;1105
60247507;1371
60248000;1185
60249903;1587
60251135;1312
60252027;1281
60252098;1525
60256310;1377
60260497;352
60260910;1357
60264830;78
60265252;703
60265569;117
60265932;914
60266144;340
60267171;1173
60269037;52
60270452;381
60270712;724
60271248;1601
60273352;1037
60274212;1623
60274536;401
60274618;1032
60275990;821
60277824;299
60279775;367
60281064;449
60281114;718
60281598;81
60282629;1421
60282789;846
60282814;824
60282999;1730
60283503;1497
60284377;812
60284516;604
60286296;1417
60286346;891
60287277;1267
60288443;1119
60288614;212
60290800;268
60291941;75
60293216;756
60294485;1030
60294713;911
60295231;1604
60295320;1158
60295427;1307
60296511;1244
60298932;1566
60299831;1267
60300340;690
60300408;28
60302512;107
60303404;495
60303614;824
60303692;461
60304050;231
60304591;698
60306813;705
60309948;775
60310224;1004
60311269;655
60313672;1415
60314183;1312
60316818;1701
60319789;1112
60322461;1199
60323969;863
60325201;908
60326538;754
60326844;1380
60327266;528
60327615;1072
60327832;1421
60328432;201
60329598;775
60330522;425
60330586;664
60330636;1519
60335124;1228
60335291;938
60337036;26
60337328;437
60337456;1120
60337762;58
60337940;595
60338857;281
60339756;1495
60339959;233
60340413;1383
60342439;691
60344066;1026
60347710;1628
60349519;140
60352006;1403
60354021;1266
60355600;437
60355931;394
60356613;1148
60356727;718
60360608;417
60364161;1121
60365078;1073
60365142;457
60365740;275
60366319;145
60366689;1313
60368099;524
60369429;1312
60369984;557
60370919;342
60371679;1417
60371992;1034
60372197;382
60375058;146
60375880;847
60376637;1641
60377340;69
60377803;581
60378887;1649
60379569;695
60385433;1078
60386439;1316
60386859;521
60388778;711
60389531;409
60393661;1557
60394998;1042
60396465;1072
60397542;1145
60398167;411
60399454;938
60399956;17
60401186;1549
60401745;1162
60401898;1039
60402701;147
60403714;158
60406781;1216
60406938;129
60407883;851
60408412;953
60413174;234
60415474;782
60416081;1529
60418673;198
60418851;737
60420140;1046
60424338;148
60424555;185
60427163;372
60427989;232
60428977;157
60430095;1028
60432840;622
60433166;1397
60433344;1256
60434834;1045
60435263;1287
60437428;604
60439525;286
60441622;43
60443413;1774
60443477;561
60443609;422
60443801;972
60443897;1775
60445204;71
60445784;611
60446306;1435
60446612;385
60449163;368
60449672;591
60450831;502
60451762;704
60453197;147
60454662;968
60455038;1470
60455586;517
60456154;703
60456948;927
60457263;1546
60457719;1266
60457822;704
60459499;1455
60460398;358
60462513;911
60462538;736
60462659;1024
60463323;1117
60463871;90
60464076;837
60466515;1674
60467236;100
60468103;656
60468320;852
60470015;1243
60470499;237
60472849;1212
60473157;940
60473805;1189
60474889;1104
60477038;80
60478097;1402
60479345;494
60479936;1548
60480212;1041
60480276;1528
60482462;323
60482665;341
60483404;1470
60483685;762
60484221;1202
60485234;430
60485572;1354
60485953;636
60486090;476
60486279;1536
60488216;825
60489617;382
60489738;942
60489841;373
60490256;1726
60490893;1223
60492182;99
60492702;136
60493359;1426
60494614;1012
60494895;972
60497140;419
60500519;1489
60502559;657
60502840;650
60505950;300
60506358;1420
60507086;703
60507271;1199
60508302;1544
60508697;21
60509468;229
60509781;1335
60511864;911
60512090;948
60512336;349
60512521;300
60513032;422
60513598;1453
60514006;43
60514878;526
60514928;724
60516765;158
60517664;264
60519117;913
60519505;825
60521470;111
60524064;284
60524826;82
60526880;186
60527320;331
60528874;279
60529613;777
60529816;1650
60530882;503
60530925;730
60533348;1123
60535915;1573
60536209;323
60538669;657
60539130;1331
60542735;1343
60542920;372
60543196;1314
60543292;1423
60545083;1159
60546299;811
60546662;284
60549911;1372
60550205;1323
60550493;417
60550568;886
60550988;217
60554125;223
60555469;997
60555889;1474
60556852;159
60557096;1628
60557826;823
60558248;718
60558294;591
60558629;1215
60558682;28
60560046;851
60560224;940
60560861;195
60561269;1119
60561461;566
60562606;814
60562734;1313
60562855;1101
60566992;1448
60567254;822
60569173;1461
60570229;1125
60572618;1521
60572746;1259
60572881;925
60574505;1484
60575525;1493
60576207;615
60577565;620
60579580;1041
60580134;776
60580369;780
60582021;1010
60582092;1068
60582498;819
60583269;103
60586660;1509
60587100;764
60591814;1754
60595143;1244
60595232;825
60595727;1501
60596494;380
60598520;568
60598673;448
60599533;1246
60600156;322
60602246;710
60604546;1037
60605064;511
60606586;455
60608384;351
60613075;700
60613673;578
60616445;1668
60616751;717
60616840;655
60617052;175
60618161;657
60618229;1448
60618275;1136
60618841;1251
60619174;381
60620486;131
60620664;968
60621054;1489
60622537;593
60623831;1034
60624171;1226
60625280;294
60625921;837
60626197;1577
60629186;1356
60630498;938
60632111;1550
60632734;593
60633124;1339
60635068;1023
60635520;1442
60639052;68
60639091;23
60639586;858
60642632;1086
60642949;275
60643143;882
60643442;812
60643976;948
60644213;1477
60644341;1773
60646132;1354
60647049;272
60647444;1154
60648158;437
60648304;823
60648756;1409
60649235;1226
60649986;497
60651567;1103
60652523;1375
60654271;426
60654588;948
60656799;1403
60657189;1430
60658234;642
60658330;1255
60658711;1565
60658750;490
60659891;395
60660616;796
60660790;636
60660915;909
60661312;125
60661383;1420
60661561;1270
60661814;1238
60662019;38
60663142;82
60663441;1323
60664326;432
60670457;711
60670806;1377
60670980;864
60671178;346
60672497;1040
60672814;243
60674103;232
60678735;1397
60679068;713
60679335;102
60681934;280
60683198;411
60685046;1419
60685523;159
60687652;1607
60688551;1587
60691017;934
60691177;1180
60691750;819
60692261;1023
60692610;1668
60693915;650
60694853;1197
60697664;98
60698008;1195
60698225;1237
60699245;1051
60699494;78
60700110;702
60700320;953
60701582;1212
60702983;83
60703003;997
60703487;917
60703576;484
60703829;925
60703989;356
60706444;1086
60707699;35
60709020;1322
60710318;1263
60711441;70
60712486;242
60712956;1072
60713079;1787
60715272;1268
60715308;656
60716890;1033
60718902;533
60719819;954
60719986;747
60720561;1016
60722085;826
60722288;1476
60723461;1143
60724061;301
60726518;888
60726678;1334
60726849;265
60727278;1345
60728597;1733
60729806;849
60731305;1765
60731440;981
60734372;837
60736188;401
60736761;466
60738303;343
60739501;1435
60740076;49
60740165;1326
60742508;1112
60742561;1316
60743994;948
60745696;201
60747455;82
60747996;371
60748062;96
60748386;840
60748767;1725
60748831;701
60751083;1774
60753376;1096
60754492;32
60754528;1214
60754631;1689
60754738;865
60755110;1313
60756034;4
60756917;1437
60759607;374
60759678;1300
60759685;882
60761704;1249
60763961;303
60764223;1037
60764337;617
60766498;1550
60766975;638
60767155;630
60768652;68
60771787;1332
60774228;53
60774598;435
60774865;1106
60777352;1625
60778995;621
60779182;137
60782890;616
60783533;327
60784820;969
60785331;1442
60786892;913
60788078;1025
60788509;1492
60789290;446
60789543;480
60789956;1381
60789970;711
60790467;1505
60791099;756
60791672;103
60793029;1701
60793075;1503
60793381;637
60794921;1307
60795076;1469
60796349;776
60796566;1410
60797287;1760
60798040;939
60798460;797
60798791;1226
60801458;870
60803434;1390
60804917;1474
60804995;748
60805307;1106
60805346;1252
60805549;1037
60806188;14
60807297;309
60809985;505
60810674;401
60811559;1718
60812134;353
60812935;1169
60814021;387
60814847;1415
60815657;1482
60817925;1208
60819278;587
60821681;83
60822018;1530
60822192;703
60822915;936
60823593;368
60825669;463
60826422;718
60827307;1243
60828455;1087
60830214;1575
60834757;373
60834807;103
60836690;1092
60837123;1599
60838150;1244
60840347;1381
60841335;701
60841805;1027
60843197;1210
60844865;1472
60845134;729
60848739;638
60848874;280
60849435;1325
60849677;1417
60850633;449
60851920;408
60852004;713
60852253;641
60852538;614
60854845;289
60855281;947
60855840;232
60856579;1580
60856668;1150
60858338;934
60859059;200
60860061;1390
60860524;1579
60860606;350
60861252;480
60862009;1256
60862062;691
60862443;39
60862607;937
60863367;411
60866178;703
60868670;1290
60870244;1012
60876140;657
60876845;928
60877018;1178
60877057;91
60877477;943
60883697;1700
60883708;106
60885214;948
60885246;970
60885716;815
60886120;1082
60886501;1479
60887592;1332
60887980;277
60888452;1549
60889547;1585
60889903;1384
60890204;952
60890357;1219
60890617;1266
60890745;430
60891060;1188
60892664;1791
60892792;1451
60893428;1314
60894074;911
60894626;1372
60895265;1307
60895361;450
60897031;570
60897533;1764
60898838;704
60899178;409
60901654;1312
60903438;1079
60905873;711
60906053;1126
60908257;1499
60908912;701
60909601;1663
60912259;1253
60913012;1602
60914000;539
60914025;716
60914235;985
60914477;382
60914573;935
60915020;33
60915522;1100
60916019;368
60916229;751
60920277;1078
60920487;1146
60921386;485
60922709;623
60926629;1583
60927460;604
60927706;863
60927791;1093
60928701;1497
60928772;158
60928936;757
60929148;1798
60929194;1153
60929244;1210
