Id_grp_generique;libelle_gp_gen;type_generique;num_tri
1;CIMETIDINE 200 mg - TAGAMET 200 mg, comprimé pelliculé;0;1
2;CIMETIDINE 200 mg - TAGAMET 200 mg, comprimé effervescent;1;3
3;CIMETIDINE 400 mg - TAGAMET 400 mg, comprimé pelliculé;1;2
4;CIMETIDINE 800 mg - TAGAMET 800 mg, comprimé pelliculé sécable;0;1
7;RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé pelliculé - RANIPLEX 150 mg, comprimé pelliculé.;1;4
8;RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé pelliculé - RANIPLEX 300 mg, comprimé pelliculé.;0;1
9;RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 75 mg - AZANTAC 75 mg, comprimé effervescent - RANIPLEX 75 mg, comprimé effervescent.;0;2
10;RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé effervescent - RANIPLEX 150 mg, comprimé effervescent.;0;1
11;RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé effervescent - RANIPLEX 300 mg, comprimé effervescent.;1;3
12;FAMOTIDINE 20 mg - PEPDINE 20 mg, comprimé pelliculé;1;2
13;FAMOTIDINE 40 mg - PEPDINE 40 mg, comprimé pelliculé;1;2
14;OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante;1;5
15;SUCRALFATE 1 g - ULCAR 1 g, suspension buvable en sachet;0;1
16;SUCRALFATE 1 g - ULCAR 1 g, comprimé;0;1
17;PHLOROGLUCINOL (HYDRATE) 80 mg - SPASFON LYOC 80 mg, lyophilisat oral.;1;6
18;MEBEVERINE (CHLORHYDRATE DE) 100 mg - DUSPATALIN 100 mg, comprimé enrobé;1;2
19;MEBEVERINE (CHLORHYDRATE DE) 200 mg - DUSPATALIN 200 mg, gélule;1;2
21;TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé;0;1
22;METOCLOPRAMIDE (CHLORHYDRATE DE) 10 mg - PRIMPERAN 10 mg, comprimé sécable;0;1
23;DOMPERIDONE 10 mg - MOTILIUM 10 mg, comprimé pelliculé - PERIDYS 10 mg, comprimé pelliculé.;1;8
25;LACTULOSE 66,5 % (concentration exprimée en m/v) - DUPHALAC 66,5 POUR CENT, solution buvable en flacon.;1;2
26;LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet.;0;1
27;NIFUROXAZIDE 4 % - ERCEFURYL 4 POUR CENT, suspension buvable.;0;1
28;NIFUROXAZIDE 200 mg - NIFUROXAZIDE SANOFI-AVENTIS 200 mg, gélule - ERCEFURYL 200 mg, gelule;1;3
29;LOPERAMIDE (CHLORHYDRATE DE) 2 mg - IMODIUM 2 mg, gélule - IMODIUMCAPS 2 mg, gélule;0;2
30;CROMOGLICATE DE SODIUM 100 mg/5 ml - NALCRON, solution buvable en ampoule.;0;1
31;METFORMINE (CHLORHYDRATE DE) 500 mg - GLUCOPHAGE 500 mg, comprimé pelliculé;1;6
32;METFORMINE (CHLORHYDRATE DE) 850 mg - GLUCOPHAGE 850 mg, comprimé pelliculé;1;6
33;METFORMINE (CHLORHYDRATE DE) 1000 mg - GLUCOPHAGE 1000 mg, comprimé pelliculé sécable.;1;14
34;GLIPIZIDE 5 mg - GLIBENESE 5 mg, comprimé sécable - MINIDIAB 5 mg, comprimé sécable;0;2
35;GLICLAZIDE 80 mg - DIAMICRON 80 mg, comprimé sécable;1;2
36;TICLOPIDINE (CHLORHYDRATE DE) 250 mg - TICLID 250 mg, comprimé pelliculé;0;1
38;ACIDE TRANEXAMIQUE 500 mg - EXACYL 500 mg, comprimé pelliculé;1;2
39;ACIDE TRANEXAMIQUE 1g/10 ml - EXACYL 1 g/10 ml, solution buvable.;0;1
40;ACIDE FOLIQUE 5 mg - SPECIAFOLDINE 5 mg, comprimé.;1;2
42;FLECAINIDE (ACETATE DE) 100 mg - FLECAINE 100 mg, comprimé sécable;1;3
43;AMIODARONE (CHLORHYDRATE D’) 200 mg - CORDARONE 200 mg, comprimé sécable;1;10
49;MOLSIDOMINE 2 mg - CORVASAL 2 mg, comprimé sécable;1;2
50;MOLSIDOMINE 4 mg - CORVASAL 4 mg, comprimé;1;4
51;TRIMETAZIDINE (DICHLORHYDRATE DE) 20 mg/ml - VASTAREL 20 mg/ml, solution buvable gouttes.;1;2
52;TRIMETAZIDINE (DICHLORHYDRATE DE) 20 mg - VASTAREL 20 mg, comprimé pelliculé.;0;1
53;RILMENIDINE (DIHYDROGENOPHOSPHATE DE) équivalant à RILMENIDINE 1 mg - HYPERIUM 1 mg, comprimé.;1;5
54;INDAPAMIDE 2,5 mg - FLUDEX 2,5 mg, comprimé pelliculé;1;2
55;FUROSEMIDE 20 mg - LASILIX FAIBLE 20 mg, comprimé.;1;5
56;FUROSEMIDE 40 mg - LASILIX 40 mg, comprimé sécable;1;2
57;SPIRONOLACTONE 50 mg - ALDACTONE 50 mg, comprimé sécable.;1;7
58;SPIRONOLACTONE 75 mg - ALDACTONE 75 mg, comprimé sécable.;1;6
59;AMILORIDE (CHLORHYDRATE D’) 5 mg + HYDROCHLOROTHIAZIDE 50 mg - MODURETIC, comprimé sécable;1;2
60;SPIRONOLACTONE 25 mg + ALTIZIDE 15 mg - ALDACTAZINE 25 mg/15 mg, comprimé sécable.;1;8
61;PENTOXIFYLLINE 400 mg - TORENTAL LP 400 mg, comprimé enrobé à libération prolongée;0;1
62;NICERGOLINE 5 mg - SERMION 5 mg, gélule;0;1
63;NICERGOLINE 10 mg - SERMION 10 mg, gélule;1;3
65;BUFLOMEDIL (CHLORHYDRATE DE) 150 mg - FONZYLANE 150 mg, comprimé pelliculé;1;2
67;NAFTIDROFURYL (OXALATE ACIDE DE) ou NAFTIDROFURYL (HYDROGENOOXALATE DE) 100 mg - PRAXILENE 100 mg, gélule.;1;2
68;NAFTIDROFURYL (OXALATE ACIDE DE) ou NAFTIDROFURYL (HYDROGENOOXALATE DE) 200 mg - PRAXILENE 200 mg, comprimé pelliculé.;1;4
69;DIOSMINE 300 mg - DIOVENOR 300 mg, comprimé pelliculé;1;2
70;DIOSMINE 600 mg - DIOVENOR 600 mg, comprimé pelliculé;1;9
71;DIOSMINE 600 mg - DIOVENOR 600 mg, poudre pour suspension buvable en sachet-dose;0;1
72;TROXERUTINE 3500 mg - RHEOFLUX 3500 mg, poudre pour solution buvable en sachet-dose - VEINAMITOL 3500 mg, poudre pour solution buvable en sachet-dose.;0;1
74;PROPRANOLOL (CHLORHYDRATE DE) 40 mg - AVLOCARDYL 40 mg, comprimé sécable;0;1
75;SOTALOL (CHLORHYDRATE DE) 80 mg - SOTALEX 80 mg, comprimé sécable;1;5
76;SOTALOL (CHLORHYDRATE DE) 160 mg - SOTALEX 160 mg, comprimé sécable;1;5
77;METOPROLOL (TARTRATE DE) 100 mg - LOPRESSOR 100 mg, comprimé pelliculé sécable - SELOKEN 100 mg, comprimé sécable.;1;7
78;ATENOLOL 50 mg - TENORMINE 50 mg, comprimé pelliculé sécable.;1;14
79;ATENOLOL 100 mg - TENORMINE 100 mg, comprimé enrobé sécable.;1;14
80;ACEBUTOLOL (CHLORHYDRATE D') équivalant à ACEBUTOLOL 200 mg - SECTRAL 200 mg, comprimé pelliculé.;1;12
81;ACEBUTOLOL (CHLORHYDRATE D') équivalant à ACEBUTOLOL 400 mg - SECTRAL 400 mg, comprimé pelliculé.;1;4
82;BISOPROLOL (HEMIFUMARATE DE) 10 mg - DETENSIEL 10 mg, comprimé pelliculé sécable - SOPROL 10 mg, comprimé pelliculé sécable.;1;14
83;CELIPROLOL (CHLORHYDRATE DE) 200 mg - CELECTOL 200 mg, comprimé pelliculé;1;12
85;NIFEDIPINE 20 mg - ADALATE 20 mg L.P., comprimé à libération prolongée.;1;2
86;NITRENDIPINE 10 mg - BAYPRESS 10 mg, comprimé  - NIDREL 10 mg, comprimé;0;2
87;NITRENDIPINE 20 mg - BAYPRESS 20 mg, comprimé - NIDREL 20 mg, comprimé.;0;2
88;VERAPAMIL (CHLORHYDRATE DE) 120 mg - ISOPTINE 120 mg, gélule;1;3
89;VERAPAMIL (CHLORHYDRATE DE) 240 mg - ISOPTINE L.P. 240 mg, comprimé pelliculé sécable à libération prolongée.;1;3
90;DILTIAZEM (CHLORHYDRATE DE) 60 mg - TILDIEM 60 mg, comprimé;1;3
91;DILTIAZEM (CHLORHYDRATE DE ) 90 mg - DIACOR L.P. 90 mg, gélule à libération prolongée.;1;4
92;DILTIAZEM (CHLORHYDRATE DE) 120 mg - DIACOR L.P. 120 mg, gélule à libération prolongée.;1;4
93;DILTIAZEM (CHLORHYDRATE DE) 300 mg - DILRENE L.P. 300 mg, gélule à libération prolongée.;0;1
94;CAPTOPRIL 25 mg - CAPTOLANE 25 mg, comprimé sécable - LOPRIL 25 mg, comprimé sécable.;0;1
95;CAPTOPRIL 50 mg - CAPTOLANE 50 mg, comprimé sécable - LOPRIL 50 mg, comprimé sécable.;0;2
96;ENALAPRIL (MALEATE D') 5 mg - RENITEC 5 mg, comprimé.;1;5
97;ENALAPRIL (MALEATE D') 20 mg - RENITEC 20 mg, comprimé.;1;11
