CodeCIP7;Libelle_presentation;date_commercialisation;Agrément_collectivités ;Taux_remboursement;prix_min;Prix_max;difference_tarifiaire_entre_min_et_max;CodeCIS
4949729;plaquette(s) PVC PVDC aluminium de 30 comprimé(s);16/03/2011;oui;100%;30,36;31,38;1,02;60002283
4949770;plaquette(s) PVC PVDC aluminium de 90 comprimé(s);19/09/2011;oui;100%;85,74;86,76;1,02;60002283
3696350;20 récipient(s) unidose(s) polyéthylène de 2 ml suremballée(s)/surpochée(s) par plaquette de 5 récipients unidoses;30/11/2006;oui;65%;19,74;20,76;1,02;60003620
3614582;plaquette(s) thermoformée(s) PVC aluminium de 30  gélule(s);11/06/2003;oui;65%;1,54;2,56;1,02;60004277
3972519;plaquette(s) opaque(s) PVC-Aluminium de 30 comprimé(s);12/12/2011;oui;65%;8,88;9,9;1,02;60004487
3551025;plaquette(s) PVC-Aluminium PVDC de 30 comprimé(s);25/03/2004;oui;15%;7,82;8,84;1,02;60005856
4944413;plaquette(s) aluminium de 28 comprimé(s);08/05/2012;oui;65%;4,1;5,12;1,02;60007437
4944494;plaquette(s) aluminium de 90 comprimé(s);08/05/2012;oui;65%;12,81;15,57;2,76;60007437
3016859;plaquette(s) PVC PVDC aluminium de 30 capsule(s);25/08/2021;oui;30%;8,82;9,84;1,02;60008724
3016729;plaquettes PVC-Aluminium de 16 comprimés;10/06/2021;oui;65%;1,72;2,74;1,02;60009573
3809334;plaquette(s) PVC PVDC aluminium de 12 comprimé(s);14/04/2009;oui;65%;6,56;7,58;1,02;60010885
3740594;plaquette(s) thermoformée(s) PVC-Aluminium de 28 comprimé(s);30/10/2006;oui;65%;4,23;5,25;1,02;60016308
3657120;5 ampoule(s) en verre de 5 ml;01/02/2006;oui;65%;6,04;7,06;1,02;60016589
3651330;plaquette(s) PVC-Aluminium de 56 gélule(s);13/06/2006;oui;65%;23,51;24,53;1,02;60018088
3010100;30 plaquette(s) prédécoupées unitaires aluminium OPA : polyamide orienté PVC-Aluminium de 1 comprimé(s);06/01/2021;oui;65%;155,22;156,24;1,02;60018444
2794381;pilulier(s) polypropylène de 30 comprimé(s);08/01/2015;oui;65%;3,64;4,66;1,02;60018896
2794412;3 pilulier(s) polypropylène de 30 comprimé(s);08/01/2015;oui;65%;10,53;13,29;2,76;60018896
3496817;plaquette(s) thermoformée(s) PVC aluminium de 30 comprimé(s);13/03/2000;oui;65%;3,64;4,66;1,02;60021127
3738338;plaquette(s) thermoformée(s) PVC aluminium de 90 comprimé(s);06/10/2015;oui;65%;10,53;13,29;2,76;60021127
2165828;1 flacon(s) pressurisé(s) aluminium de 100 g;27/03/2013;oui;65%;9,46;10,48;1,02;60021312
3017344;plaquette(s) PVC polyéthylène PVDC aluminium de 30 gélule(s);03/02/2020;oui;30%;4,71;5,73;1,02;60021928
3589884;30 sachet(s) papier polyéthylène aluminium P-A-M-éthylène (SURLYN) de 1  dispositif(s);16/04/2003;oui;65%;11,9;12,92;1,02;60022275
3016779;1 flacon(s) compte-gouttes polyéthylène basse densité (PEBD) de 5 ml;02/12/2019;oui;65%;4,41;5,43;1,02;60023270
3682098;plaquette(s) PVC-Aluminium de 20 comprimé(s);24/11/2005;oui;65%;1,58;2,6;1,02;60026957
3701625;plaquette(s) PVC-Aluminium de 90 comprimé(s);14/03/2006;oui;65%;5,21;6,23;1,02;60026957
3875331;plaquette(s) PVC-Aluminium de 180 comprimé(s);25/11/2008;oui;65%;9,9;10,92;1,02;60026957
3004343;28 plaquette(s) pelable(s) papier polytéréphtalate (PET) aluminium PVC-Aluminium polyamide de 1 comprimé(s);04/10/2016;oui;65%;17,42;18,44;1,02;60031071
2210871;4 seringue(s) préremplie(s) polypropylène jaune(brun) de 2 ml;17/12/2012;oui;65%;79,24;80,26;1,02;60034085
3841579;8 sachet(s)-dose(s) polytéréphtalate (PET) aluminium polyéthylène de 6 g;17/03/2009;oui;30%;4,4;5,42;1,02;60034936
4921553;1 flacon(s) en verre brun de 150 ml avec gobelet(s) doseur(s) polypropylène;26/08/2011;oui;15%;1,99;3,01;1,02;60035924
3016677;plaquette(s) OPA : polyamide orienté aluminium PVC-Aluminium de 30 comprimés;27/08/2019;oui;65%;7,28;8,3;1,02;60037380
3016678;plaquette(s) OPA : polyamide orienté aluminium PVC-Aluminium de 90 comprimés;27/08/2019;oui;65%;20,51;23,27;2,76;60037380
