CodeCIS;Denomination_medicament;Forme_pharmaceutique;Voie_administration;Type_procédure_AMM;Date_AMM ;Titulaire(s)
66955580;BENZOLUM BOIRON, degré de dilution compris entre 12CH et 30CH ou entre 24DH et 60DH; comprimé et solution(s) et granules et poudre;"orale;sublinguale";Enreg homéo (Proc. Nat.);20/12/2018; BOIRON
61636995;CETRARIA ISLANDICA BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH; comprimé et solution(s) et granules et poudre;"orale;sublinguale";Enreg homéo (Proc. Nat.);17/10/2019; BOIRON
66191855;CRESOLUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; comprimé et solution(s) et granules et poudre;"orale;sublinguale";Enreg homéo (Proc. Nat.);17/01/2020; BOIRON
64778715;KALIUM BICHROMICUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; comprimé et solution(s) et granules et poudre;"orale;sublinguale";Enreg homéo (Proc. Nat.);04/11/2015; BOIRON
60156662;KREOSOTUM BOIRON, degré de dilution compris entre 5CH et 30CH ou entre 14DH et 60DH (pour les formes orales solides) et 5CH et 30CH ou entre 10DH et 60DH (pour les formes orales liquides); comprimé et solution(s) et granules et poudre;"orale;sublinguale";Enreg homéo (Proc. Nat.);25/10/2017; BOIRON
63046865;KREOSOTUM LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; comprimé et solution(s) et granules et poudre;"orale;sublinguale";Enreg homéo (Proc. Nat.);26/02/2019; LEHNING
66495776;PETROLEUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; comprimé et solution(s) et granules et poudre;"orale;sublinguale";Enreg homéo (Proc. Nat.);03/05/2018; BOIRON
61672952;PETROLEUM LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; comprimé et solution(s) et granules et poudre;"orale;sublinguale";Enreg homéo (Proc. Nat.);03/05/2018; LEHNING
61212345;STAPHYLOTOXINUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; comprimé et solution(s) et granules et poudre;"orale;sublinguale";Enreg homéo (Proc. Nat.);17/06/2020; BOIRON
60386663;ABELMOSCHUS BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);01/03/2019; BOIRON
60538772;ABIES CANADENSIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);20/09/2013; BOIRON
65698396;ABIES NIGRA BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);04/08/2016; BOIRON
63075735;ABIES PECTINATA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);23/07/2010; BOIRON
69985792;ABIES PECTINATA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);23/07/2010; LEHNING
62082709;ABROTANUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);19/07/2010; BOIRON
67871676;ABROTANUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);19/07/2010; LEHNING
64457435;ABSINTHIUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);11/02/2011; BOIRON
60612094;ABSINTHIUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);27/06/2011; LEHNING
62963238;ACALYPHA INDICA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);20/09/2013; BOIRON
67238724;ACETANILIDUM BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;"cutanée;orale;sublinguale";Enreg homéo (Proc. Nat.);18/05/2010; BOIRON
