Code_substance;nom_substance;dose_substance;nom_element_pharmaceutique;reference_dosage;nature_composant;num_liaison_SA_FT
1;CHLORHYDRATE DE LOPÉRAMIDE;2 mg;capsule;une capsule;SA;1
5;ACIDE ACÉTYLSALICYLIQUE;500,00 mg;comprimé;un comprimé;SA;1
6;ASPARTIQUE (ACIDE);1,26 g;solution;1000 ml;SA;3
8;ACIDE BORIQUE;4,0 g;pommade;100 g de pommade;SA;5
11;ACIDE CITRIQUE ANHYDRE;0,813 mg;sachet B;un sachet;SA;5
21;ADÉNOSINE ET D'HEPTAMINOL (PHOSPHATE D');300 mg;gélule;une gélule;SA;1
26;ACIDE TARTRIQUE;0,70 g;solution;100 ml de solution moussante;SA;1
27;MACROGOL 9 (ÉTHER LAURIQUE DE);5,00 mg;solution;1 ampoule;SA;1
28;ACIDE UNDÉCYLÉNIQUE;2 g;poudre;100 g de poudre pour application locale;SA;1
29;IFOSFAMIDE;40 mg;solution;1 ml de solution;SA;1
31;ALANINE;1,94 g;solution;1000 ml;SA;1
33;ALCOOL BENZYLIQUE;4 ml;solution;100 ml;SA;1
34;BUPIVACAÏNE (CHLORHYDRATE DE) MONOHYDRATÉ;5,28 mg;solution;1 ml de solution injectable;SA;1
35;ÉTHANOL À 96 POUR CENT;73,7 ml;solution;100 ml de solution;SA;1
37;DICLOFÉNAC SODIQUE;1 g;gel;100 g de gel;FT;1
42;AMANTADINE (CHLORHYDRATE D');100 mg;capsule;une capsule;SA;1
50;ANDROSTANOLONE;2,50 g;gel;100 g de gel;SA;1
52;CHLORHYDRATE D'APOMORPHINE HÉMIHYDRATÉ;5 mg;solution;1 mL de solution injectable;SA;1
53;NITRATE D'ARGENT;1,060 mg;solution;une ampoule de 2 ml;SA;1
54;ARGENT COLLOÏDAL PAR VOIE CHIMIQUE;0,070 mg;comprimé;un comprimé;SA;1
57;ASPARAGINASE;10 000 UI;poudre;un flacon de 100 mg de poudre;SA;1
59;TRIPHOSADÉNINE;20 mg;solution;une ampoule;FT;1
63;SULFATE DE BARYUM;5 g;suspension;100 ml de suspension buvable à diluer;SA;1
69;BÉTAÏNE;1 g;poudre;1 g de poudre;SA;1
72;BIOTINE;0,069 mg;poudre;1 flacon de 5 ml;SA;11
73;BISACODYL;5,0 mg;comprimé;un comprimé;SA;1
77;NITRATE DE PILOCARPINE;8 mg;collyre;une dose unitaire de 0,4 ml;SA;1
78;PINDOLOL;5 mg;comprimé;un comprimé;SA;1
81;PIPOBROMAN;25 mg;comprimé;un comprimé;SA;1
82;PIPOTIAZINE;10 mg;comprimé;un comprimé;SA;1
83;PIRACÉTAM;800 mg;comprimé;un comprimé;SA;1
86;MALATE DE PIZOTIFÈNE;0,73 mg;comprimé;un comprimé;SA;1
87;DOSULÉPINE (CHLORHYDRATE DE);25 mg;gélule;une gélule;SA;1
90;SULFATE DE POTASSIUM;3,13 g;solution;un flacon;SA;3
93;CHLORURE DE POTASSIUM;1,8 g;compartiment 1 : acides aminés et électrolytes;300 ml;SA;23
95;IODURE DE POTASSIUM;166 microgrammes;solution;une ampoule de 10 ml;SA;9
96;HYDROXYDE DE POTASSIUM;0,11 g;compartiment acides aminés;125 ml;SA;35
101;CHLORHYDRATE DE PROCAÏNE;2 g;solution;100 ml;SA;1
108;FRUCTOSE;5 g;solution;100 ml de solution pour perfusion;SA;1
111;FUMARATE D'OXÉTORONE;60 mg;comprimé;un comprimé;SA;1
112;LACTOBACILLUS FERMENTUM;q s p 10 milliards de LACTOBACILLUS L B inactivés dans 800 mg de poudre;poudre;un sachet;SA;1
113;ALOE POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;un comprimé;SA;17
114;DIFLUPREDNATE;0,050 g;crème;100 g de crème;SA;1
126;CITRATE DE TAMOXIFÈNE;30,40 mg;comprimé;un comprimé;SA;1
127;BAUME DU PÉROU;0,650 mg;dispositif n°10 PANEL 1;un dispositif;SA;30
128;BAUME DE TOLU;1,14 mg;sirop;5 mL de sirop;SA;1
129;BENJOIN DU LAOS, DIT DU SIAM;0,100 g;pommade;100 g de pommade;SA;1
132;BOLDO (FEUILLE DE);0,105 g;plante(s);un sachet-dose de 1,63 g;SA;1
134;BOURDAINE (ÉCORCE DE);40,0 mg soit 2,4 mg quantité minimale en glucofrangulines A;plante(s);un sachet dose de 2 g;SA;1
141;DACARBAZINE;1000 mg;poudre;un flacon;SA;1
152;NIAOULI (HUILE ESSENTIELLE DE);5 g;pommade;100 g de pommade;SA;1
155;HUILE ESSENTIELLE D'EUCALYPTUS;1,50 g;pommade;100 g de pommade;SA;4
157;TÉRÉBENTHINE (ESSENCE DE);5,00 g;pommade;100 g de pommade;SA;2
158;GIROFLE (HUILE ESSENTIELLE DE);3,00 g;crème;100 g de crème;SA;2
159;THYM ROUGE (HUILE ESSENTIELLE DE);34 mg;capsule;une capsule;SA;2
160;HUILE ESSENTIELLE DE MENTHE POIVRÉE;187 mg;gélule;une gélule;SA;1
163;FIBRINOGÈNE HUMAIN ;1 g;poudre;un flacon;SA;1
165;FRÊNE (FEUILLE DE);30 g;plante(s);100 g de mélange de plantes pour tisane;SA;9
166;SOUFRE PRÉCIPITÉ;11 mg;comprimé;un comprimé;SA;2
180;BILE DE BOEUF (EXTRAIT DE) (FLUIDE);0,0975 g;gel;un récipient unidose;SA;1
185;BROMHYDRATE DE FÉNOTÉROL;0,05 mg;solution;une dose;SA;2
188;MAUVE;200 mg;plante(s);un sachet-dose de 2 g;SA;2
189;FEUILLE DE MÉLISSE;30 g;plante(s);100 g de mélange de plantes pour tisane;SA;5
191;CHLORHYDRATE D'ACÉBUTOLOL;443,3 mg;comprimé;un comprimé;SA;1
195;CÉFADROXIL;1 g;comprimé;un comprimé;FT;1
196;LÉVONORGESTREL;1,50 mg;comprimé;un comprimé;SA;1
199;PINAVÉRIUM (BROMURE DE);100 mg;comprimé;un comprimé;SA;1
200;MALÉATE DE TIMOLOL;0,342 g;collyre;100 ml de collyre en solution;SA;1
204;GEL D'HYDROXYDE D'ALUMINIUM ET DE CARBONATE DE MAGNÉSIUM CODESSÉCHÉS;0,5 g;poudre;un sachet-dose de 3,0515 g;SA;1
210;METFORMINE (EMBONATE DE);700,0 mg;comprimé;un comprimé;SA;1
213;SÉNÉ (FEUILLE DE);0,72 g;mélange de plantes;un sachet-dose de 1,8 g;SA;1
