CodeCIS;CodeCIP7;Libelle_presentation;Statut_administratif;Etat_commercialisation;date_commercialisation;codeCIP13;Agrément_collectivités ;Taux_remboursement;prix_min;Prix_max;difference_tarifiaire_entre_min_et_max
60002283;4949729;plaquette(s) PVC PVDC aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;16/03/2011;3400949497294;oui;100%;30,36;31,38;1,02
60002283;4949770;plaquette(s) PVC PVDC aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;19/09/2011;3400949497706;oui;100%;85,74;86,76;1,02
60003620;3696350;20 récipient(s) unidose(s) polyéthylène de 2 ml suremballée(s)/surpochée(s) par plaquette de 5 récipients unidoses;Présentation active;Déclaration de commercialisation;30/11/2006;3400936963504;oui;65%;19,74;20,76;1,02
60004277;3614582;plaquette(s) thermoformée(s) PVC aluminium de 30  gélule(s);Présentation active;Déclaration de commercialisation;11/06/2003;3400936145825;oui;65%;1,54;2,56;1,02
60004487;3972519;plaquette(s) opaque(s) PVC-Aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;12/12/2011;3400939725192;oui;65%;8,88;9,90;1,02
60005856;3551025;plaquette(s) PVC-Aluminium PVDC de 30 comprimé(s);Présentation active;Déclaration de commercialisation;25/03/2004;3400935510259;oui;15%;7,82;8,84;1,02
60007437;4944413;plaquette(s) aluminium de 28 comprimé(s);Présentation active;Déclaration de commercialisation;08/05/2012;3400949444137;oui;65%;4,10;5,12;1,02
60007437;4944494;plaquette(s) aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;08/05/2012;3400949444946;oui;65%;12,81;15,57;2,76
60008724;3016859;plaquette(s) PVC PVDC aluminium de 30 capsule(s);Présentation active;Déclaration de commercialisation;25/08/2021;3400930168592;oui;30%;8,82;9,84;1,02
60008845;3236370;1 flacon(s) en verre de 500 ml;Présentation active;Déclaration de commercialisation;19/05/1964;3400932363704;oui;65%;1,69;2,71;1,02
60008845;3236387;1 flacon(s) en verre de 1000 ml;Présentation active;Déclaration de commercialisation;19/05/1964;3400932363872;oui;65%;2,64;3,66;1,02
60009573;3016729;plaquettes PVC-Aluminium de 16 comprimés;Présentation active;Déclaration de commercialisation;10/06/2021;3400930167298;oui;65%;1,72;2,74;1,02
60010885;3809334;plaquette(s) PVC PVDC aluminium de 12 comprimé(s);Présentation active;Déclaration de commercialisation;14/04/2009;3400938093346;oui;65%;6,56;7,58;1,02
60010967;3378331;plaquette(s) thermoformée(s) PVC PVDC aluminium de 3 capsule(s);Présentation active;Déclaration de commercialisation;19/01/1997;3400933783310;oui;30%;3,17;4,19;1,02
60016308;3740594;plaquette(s) thermoformée(s) PVC-Aluminium de 28 comprimé(s);Présentation active;Déclaration de commercialisation;30/10/2006;3400937405942;oui;65%;4,23;5,25;1,02
60016589;3657120;5 ampoule(s) en verre de 5 ml;Présentation active;Déclaration de commercialisation;01/02/2006;3400936571204;oui;65%;6,04;7,06;1,02
60018088;3651330;plaquette(s) PVC-Aluminium de 56 gélule(s);Présentation active;Déclaration de commercialisation;13/06/2006;3400936513303;oui;65%;23,51;24,53;1,02
60018444;3010100;30 plaquette(s) prédécoupées unitaires aluminium OPA : polyamide orienté PVC-Aluminium de 1 comprimé(s);Présentation active;Déclaration de commercialisation;06/01/2021;3400930101001;oui;65%;155,22;156,24;1,02
60018896;2794381;pilulier(s) polypropylène de 30 comprimé(s);Présentation active;Déclaration de commercialisation;08/01/2015;3400927943812;oui;65%;3,64;4,66;1,02
60018896;2794412;3 pilulier(s) polypropylène de 30 comprimé(s);Présentation active;Déclaration de commercialisation;08/01/2015;3400927944123;oui;65%;10,53;13,29;2,76
