CodeCIS;Denomination_medicament;Forme_pharmaceutique;Voie_administration;Type_procédure_AMM;Date_AMM ;Titulaire(s);Surveillance_renforcée
60002283;ANASTROZOLE ACCORD 1 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure de reconnaissance mutuelle;28/10/2010; ACCORD HEALTHCARE FRANCE;Non
60002746;ACTAEA RACEMOSA FERRIER, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granulés et  solution en gouttes en gouttes;orale,sublinguale;Enreg homéo (Proc. Nat.);03/01/2008; FERRIER;Non
60002867;CURCUMA XANTHORRHIZA, décocté WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; crème et solution et granules et poudre;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);03/05/2019; WELEDA;Non
60003620;BECLOSPIN 800 microgrammes/2ml suspension pour inhalation par nébuliseur;suspension pour inhalation par nébuliseur;inhalée;Procédure de reconnaissance mutuelle;06/01/2006; CHIESI;Non
60004487;TRAMADOL EG L.P. 200 mg, comprimé à libération prolongée;comprimé à libération prolongée;orale;Procédure nationale;07/09/2009; EG LABO - LABORATOIRES EUROGENERICS;Non
60004505;CABAZITAXEL REDDY PHARMA 60 mg, solution à diluer et solvant pour solution pour perfusion;solution à diluer et  solvant pour solution à diluer pour perfusion;intraveineuse;Procédure décentralisée;18/06/2020; REDDY PHARMA;Non
60005952;RHODODENDRON FERRUGINEUM WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granulés et  solution en gouttes en gouttes;orale,sublinguale;Enreg homéo (Proc. Nat.);25/09/2017; WELEDA;Non
60007437;ATORVASTATINE TEVA SANTE 40 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure décentralisée;22/11/2010; TEVA SANTE;Non
60008724;DUTASTERIDE MYLAN 0,5 mg, capsule molle;capsule molle;orale;Procédure décentralisée;20/12/2018; MYLAN SAS;Non
60009573;PARACETAMOL/CODEINE TEVA 500 mg/30 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure décentralisée;05/12/2018; TEVA (PAYS-BAS);Non
